Title,Author_URL,Author_Name,App_Version,Rating,Review,Date
Refunding is a scam,https://itunes.apple.com/us/reviews/id481587720,Ericle69,1.11.4,5,"I ordered a pair of Pure Money 4s and it came to me used when I bought it brand new. I asked for a refund and shipped it out to them, but they say I am the one responsible for paying shipping no matter what. Even though I bought a brand new shoe and the seller shipped me an old used one that has brush strokes, scuffs and a messed up tongue! This is outrageous, shouldn't the seller pay shipping if I ask for a refund?They sent me a faulty shoe but somehow goat approved of it

Edit: If you ever refund something always take pictures of the damaged parts. Customer service asked me for the pictures and I sent them and they basically said sorry and refunded me the shipping cost",2017-11-30 01:22:49
Awesome sneaker marketplace!,https://itunes.apple.com/us/reviews/id570986511,ReaganFoley,1.13.1,4,"I’ve bought a lot of shoes and sold a lot of shoes. GOAT needs to add a filter that tells you the prices so you can pick the budget of the shoes you wanna find. I think there service is decent and it’s easy to sell used sneakers. My only real problem is that the system doesn’t remember when I like photos so I come back to photos and see that I haven’t liked them yet, but, I clearly remember doing so. Overall I think it’s the best app to sell and buy shoes off of.",2017-11-29 04:47:01
1st time buyer,https://itunes.apple.com/us/reviews/id534383975,Chi town artist,1.13.1,5,"Ordered my first pair of shoes yeezy v2 2.0 On a saturday Seller immediately excepted, and sent out shoe to goat Monday morning... now waiting for goat to authenticate everything’s going smooth so far",2017-11-29 03:41:02
Love it. Time is the key,https://itunes.apple.com/us/reviews/id212376662,Guanabana90,1.13.1,5,I have been using the app for a while. I’ve never had a problem with any of the shoes the i ordered. It takes a while to get them yes a week may be two. This is a resale company. Here you not dealing with the seller. This company just want to make sure the you get authentic shoes. I have gotten all the adidas limited edition shoes with out a problem. And yes they are all real.,2017-11-29 00:28:30
UPDATE THE APP ALREADY!,https://itunes.apple.com/us/reviews/id289164282,EdgarVega,1.13.1,2,Wish they can fix the filters maybe add prices “low to high” or “high to low” I just hate scrolling to look for some good deals. Just makes me not want to shop on this app!,2017-11-28 08:16:20
Horrible service.,https://itunes.apple.com/us/reviews/id470362241,Kingshit09876,1.13.1,1,"Bought a pair of yeezys about 3 weeks ago still waiting on them, not even shipped yet. Contacted customer service waited 3 days for a response and they’re trying to contact the seller right now my money is taken and haven’t got the shoes. Ridiculous Tuesday will be the 4th week now.",2017-11-26 00:33:54
Great,https://itunes.apple.com/us/reviews/id21898873,Captain Red Eye,1.13.1,5,I’ve bought and sold multiple sneakers on the app and service is great but slow for a good reason. The shoes only take a week or two to get to you because of Goats great authentication process.,2017-11-25 21:20:18
Jack,https://itunes.apple.com/us/reviews/id493824883,berry mcockner,1.13.1,5,If you get your refund don’t complain like this Walmart manager ^ find some new shoes and go on.,2017-11-25 19:53:16
Selling shoes,https://itunes.apple.com/us/reviews/id23150094,Jakie558743477738464763,1.13.1,1,"I filled out the whole form to sell a pair of shoes this past Wednesday. It is now Saturday I STILL have not received an email saying my shoes have been reviewed. How can it possibly take this long? The shoes I’m selling have dropped in average sale price almost $200 since then. Very, very frustrating.",2017-11-25 17:13:23
Clothing?,https://itunes.apple.com/us/reviews/id345461959,-Chris124,1.13.1,5,"This not really a review, but it’s a request if you can do this which is implementing clothing to the app instead of shoes. I’d really like to buy T-shirts, hoodies, pants, and etc... Please",2017-11-24 01:42:04
goat,https://itunes.apple.com/us/reviews/id664348504,Wavyboy1k,1.13.1,5,Best shoe app in the world I give it 5 stars everyone that’s a sneaker head should get it,2017-11-23 14:00:55
Love the shoes but...,https://itunes.apple.com/us/reviews/id516165572,Pokemods3000,1.13.1,4,I love all the shoes on this app! There all real and at decent prices. Everything is fine except for that you can't pick your price range which can be really annoying when u don't have a $1000 dollars to spend. PLEASE CHANGE THIS,2017-11-22 22:03:46
How do I upgrade,https://itunes.apple.com/us/reviews/id663297775,dat🅱️oi,1.11.4,4,Just need a little help on updating the app it won’t let me in without updating and I have the latest update on my phone so idk what to do anybody know how I would appreciate it thanks!,2017-11-21 19:38:36
You can sell anything,https://itunes.apple.com/us/reviews/id184973396,i hate jordans,1.13.1,1,I have tried to put my address and apartment number but it would just say something about my name🤷‍♂️,2017-11-21 18:59:00
Great app,https://itunes.apple.com/us/reviews/id663278845,hunneyB12,1.13.1,5,"I really enjoy shopping and purchasing items on this site. It is fast, easy, and reliable. I have a safe feeling when I buy shoes from this app because I know that they are 100% reliable. I can't always afford the nicest shoes but I would at least I would know that they are real and I  would not have to worry about fake shoes.",2017-11-21 18:44:16
WHAT?,https://itunes.apple.com/us/reviews/id617023514,Yoboyskinny,1.11.4,3,"Ok this app is better than most place you can get shoes (cough cough, flight club) but if you look at all the 900 other places you can find better deals (sometimes) but it's amazing for quick and easy ways to get shoes!",2017-11-21 16:02:28
❤️❤️❤️❤️❤️,https://itunes.apple.com/us/reviews/id145873684,Caruso Home,1.13.1,5,I ❤️❤️❤️❤️❤️ this app,2017-11-21 01:07:53
App problem?,https://itunes.apple.com/us/reviews/id137532998,CAdznr12,1.13.1,3,"Have used the app in the past and it worked great but for last two weeks it keeps giving me a pop up saying I need to be logged in to do anything...I am logged in. Can’t enter current contests, purchase, nothing. Big bug!",2017-11-20 04:53:59
Best place for shoes,https://itunes.apple.com/us/reviews/id318711320,Steostjon,1.12.1,5,This is like a better ebay except it sells real shoes. The app can also tell you what’s trending so you can keep your feet fresh,2017-11-19 23:36:38
Customer Service,https://itunes.apple.com/us/reviews/id40544158,swat1715,1.13.1,4,Bought yeezys off the app recently and it had some flaws but they are 100% authentic just that customer service is slow,2017-11-19 15:14:55
Don’t like u guys already,https://itunes.apple.com/us/reviews/id543847378,Ffdhueschh,1.13.1,1,"I know I haven’t bought anything yet but I’ve been reading the ratings and if you guys want to be better actually communicate with the people that buy your products.If you guys don’t reply to me on here and say you guys will try to do better, then you guys are just sad and just a really ignorant company.",2017-11-19 04:02:37
🐐🐐🐐,https://itunes.apple.com/us/reviews/id562092461,yabishloveguaap,1.13.1,5,BEST SNEAKER APP ON THE F***IN MARKET!!!!!!,2017-11-18 22:28:04
Terrible service!!!!!,https://itunes.apple.com/us/reviews/id20549132,Danceoutloud,1.13.1,1,I bought a pair of air for ones and paid for them straight up! 160 our the door. So waited like 7 days and nothing then finally got a notification about them being on their way to goat for authentication..... so I sent them an email telling them how ridiculous it was that I had waited that long just to find out that the were finally on their way to goat... no response. Well the day after they arrived for “authentication” I got a notification that a label had been created to send them to me. So 7 MORE DAYS WENT BY.... I called UPS and they said they hadn't received the package only a label had been created. GOAT doesent have a number for obvious reasons so I sent them a ton of emails finally I got a response saying MY ORDER HAD BEEN CANCELED DUE TO PAYMENT INCONSISTENCIES .... worst experience took a while to get my refund. Will never shop w goat again. STAY AWAY.,2017-11-18 17:32:47
Great,https://itunes.apple.com/us/reviews/id174516854,Jlo016,1.13.1,5,"I’ve ordered 2 times from this app, some shoes are very affordable! The 2 times I’ve ordered the shoes come to me in a week or even less! I recommend this App, it’s the best way to get a good price and be sure your shoe is REAL",2017-11-18 16:15:28
Best place to buy hyped shoes,https://itunes.apple.com/us/reviews/id456040674,Juicyjuice21,1.13.1,5,I have bought so many pair of shoes from them from Kobe’s to yeezys and always 100% satisfied and when I do have a concern or question they always reply fast and resolved my issue.,2017-11-18 04:50:04
Don’t let them steal your money,https://itunes.apple.com/us/reviews/id211083676,cheifsmackahoe,1.13.1,1,"Terrible service, just buy from people directly. Don’t let this middle man take from you.",2017-11-17 23:34:15
"$10,000?",https://itunes.apple.com/us/reviews/id128058502,Bradyn.22,1.13.1,5,"It would be so cool to win that 10,000 dollars but nah I haven’t bought like a single show from there so they wouldn’t give that to me 🐏👟",2017-11-17 23:07:27
🔥,https://itunes.apple.com/us/reviews/id29568573,Mt zyro,1.13.1,5,🔥🔥🔥🔥,2017-11-17 21:17:51
Terrible,https://itunes.apple.com/us/reviews/id287177406,Finn 718,1.13.1,1,"Save your sanity and just go to flight club. I’ve tried three times to order with these people and the keep canceling my order.   They say I can only pay with PayPal but don’t tell me why.  This is all they say :
    “ As of now, we have made the necessary adjustments to your GOAT account to place orders using Paypal. Please keep in mind that if our payment processing team discovers any transaction inconsistencies, it may result in your order being canceled. 

Thank you again for bringing your concerns to our attention and we wish you the best. “

I ask how I can fix this and they send the same email. I still can’t pay via PayPal. I paid using Apple Pay it went through then the canceled my order.

Just pay the extra few bucks go to flight club or Kixify or even eBay.  This place seems not to want to take your money. Customer service is non existent!!!!!

Terrible",2017-11-17 03:45:07
Goat App sent my shoes to someone else!!!,https://itunes.apple.com/us/reviews/id124309483,Drumint,1.13,1,"They literally sent my Jordan 6 Golden Harvests  to Atlanta!! And Seeing as my address is in California, really don’t see how they messed up with that. My orders that were received in the past went to my address , but not this time . They seem to be giving me the run around asking me if the address that they’ve sent shoes to  , was surely not mine. Well , you would think living somewhere for three years , I’d know. Not happy with GOAT anymore.",2017-11-16 13:27:53
I love it,https://itunes.apple.com/us/reviews/id618015089,Gmail Is Great,1.12.1,5,I love it,2017-11-13 23:56:19
Solid Experience.,https://itunes.apple.com/us/reviews/id87601503,Mckevvy,1.12.1,5,GOAT did everything as advertised and I obtained my NMDs quickly and in perfect condition. Their app is nice and user friendly and they are on the ball when sending updates. I WILL be using them again in the future.,2017-11-13 23:12:19
Be aware to purchase from this seller,https://itunes.apple.com/us/reviews/id218371930,Crazyyyyyyyÿyyyyyyÿyyyyyyyÿ,1.12.1,1,"I order a pair of sneakers , arrived 8 days later and the size was too big for my son . Same day I inquire to make an exchange , they said they don t do exchange and only I could do return ( they don t specify this on their Poolicy ) , however , I emails them 10 times or more and they kept avoiding to give a proper answer , they told me I could do a return and that refund will be minus  shipping BOth ways , they kept avoiding to answer . 
I finally sent out the sneakers and waited 5 days to arrive and then they said it needs 7 days for them to check on the sneakers . What are they kidding me ? 
I never had such a bad experience and having to wait a total of 20 days ( if not more - I still didn t see my refund ! 
There no one to talk to , and it is really bad customer service . I truly don t recommend this app to anyone !!!!",2017-11-13 12:28:48
Amazing!!,https://itunes.apple.com/us/reviews/id112313124,Faizi1021,1.12.1,5,"I love this app! It handles all my shoe needs and allows me to find something for any outfit. One fella name Milad especially helped me out, he's the best!",2017-11-13 02:20:48
FIVE STARS,https://itunes.apple.com/us/reviews/id398287923,Beenzi,1.12.1,5,Bought a pair of Yeezy’s for my boyfriend through the app and it was the most pleasant experience. The customer service was phenomenal and i recieved updates within 24 hours after buying the shoes. The process of buying the shoes was very seamless and i recommend it to everyone!,2017-11-13 02:18:49
Shipping,https://itunes.apple.com/us/reviews/id510682430,Henry Lamar,1.12.1,1,"I ordered some Oreo Vapormaxes, a week later I check on my progress and the seller hasn’t even shipped them for authentication. They say it will take up to 7-10 days to ship but they haven’t even been shipped to be authenticated.",2017-11-13 01:12:20
Goat,https://itunes.apple.com/us/reviews/id489019153,Tcwj451697,1.12.1,5,So is this a good app to buy shoes from,2017-11-11 16:16:25
So great love the app,https://itunes.apple.com/us/reviews/id418578251,Eclihpse Gets Payed,1.12.1,5,Thanks GOAT! I just got my pair of Air Currys  69s x roblox x supremes for a fresh price of 420$ took 3 days to ship and its just amazing. Thanks GOAT. 👍🏼,2017-11-11 00:36:05
Best app,https://itunes.apple.com/us/reviews/id525983465,gucci gang 🅱️😈,1.12.1,5,This app is the best and trustworthy because they email you if something doesn’t look nee like they emailed that the box was damaged and just didn't send the shoes like that so I think this app is a good app to but your shoes,2017-11-10 16:07:51
Bad for sellers,https://itunes.apple.com/us/reviews/id199435753,Airheads rock,1.12.1,1,Don’t use goat if you are selling!,2017-11-10 13:14:57
Great app,https://itunes.apple.com/us/reviews/id260928619,BigRube744,1.12.1,3,This is a great app and I love it but my problem is that I’m in the military and live on base. The address I put in does not work and I have to get them sent to a friends house to have her send my shoes to me with the same address that does work normally. There should be an option for people in the military and their address,2017-11-10 01:17:39
Update,https://itunes.apple.com/us/reviews/id201162295,Matt 123345,1.12.1,4,Lowest price on shoes I have as owned is not updating. Otherwise it’s a great app and works flawlessly. Love it.,2017-11-08 01:31:31
Selling,https://itunes.apple.com/us/reviews/id359879098,bigbucky1212222222,1.12.1,5,So I started selling on goat for awhile now and I’ve sold a few pairs of shoes and GOAT verified my shoes when they got delivered to there facility. Great service,2017-11-07 01:38:36
Terrible...,https://itunes.apple.com/us/reviews/id30404221,CanTheReviewGoThrough?,1.12.1,1,"Downloaded the app and applied to become a seller (which requires personal information) and still waiting for approval after one month: “Seller request submitted. You’ll be notified by email it jas been reviewed.”

Waste of time and I could of just sold my items on eBay with less hastle. Thumbs down 👎🏼",2017-11-06 19:32:58
What the fucc,https://itunes.apple.com/us/reviews/id641654312,Kim Jon Oof,1.12.1,1,What the fucc is a size unit and where do I see it,2017-11-05 19:16:50
does not support iphonex,https://itunes.apple.com/us/reviews/id29723907,S.S.M.Lee,1.12.1,1,probably should give the iphone x the 1 star.  it says to update the app and i have the latest version,2017-11-04 06:29:56
Omg worst customer service everrrrr,https://itunes.apple.com/us/reviews/id412943286,Ghsafghbxgjkppkrreu,1.11.4,1,This is a great app to buy shoes but the customer service are trash they treat us like trash and they only want money they take forever to respond.,2017-11-04 02:29:50
This an awesome app. Great way to get shoes,https://itunes.apple.com/us/reviews/id601545616,monito2271,1.12.1,5,Sneakerzz,2017-11-03 00:21:39
Need one in Qatar,https://itunes.apple.com/us/reviews/id442635049,Angelli Armamento,1.12.0,4,I know it’s hard to get this app verified here in Qatar but I really wish this would be verified. I’ve put so many shows in the want list but every time I try to order it and it asks my location I can’t put in my country. It’s not in the list of countries it just makes me sad that every shoes I put in the want list goes out of stock so I have to remove them and wait until every shoe a pick goes out. Please some one in your outlets or base try and make this app verified or approved in Qatar please.😊 I’m legit begins right knowww. But please ive been waiting months and nothing im just staring at the shoes in hope of shipping methods to my country.🙂,2017-10-31 16:21:56
"Great app, but searching for kicks needs to be in-depth",https://itunes.apple.com/us/reviews/id443252588,Afro Phantom,1.12.0,4,"I do like this app a lot, however when it comes to searching for kicks, it simply doesn’t do as good of a job as Stock X. What they need is a feature where you can search for shoes within certain price brackets (I.e. $100-150, $200-250, so on and so forth)",2017-10-31 13:02:55
Goat? More like Woat,https://itunes.apple.com/us/reviews/id7932983,Greatadvice457,1.12.0,1,"This app should be called woat for worst of all time , I am a sneaker head who has sold several sneakers , all legit and after waiting  2 months for my seller account to be approved they rejected me!! IM FURIOUS 😡😡😡😡😡😡😡😡😡😡😡😡horrible app",2017-10-30 22:20:25
Boo,https://itunes.apple.com/us/reviews/id209246581,JesusHRosaz,1.12.0,1,Never get shoes from here again. The seller was a lame.,2017-10-30 02:00:02
Excellent Service,https://itunes.apple.com/us/reviews/id118902590,Anti-Madrista,1.12.0,5,"I got my pair of yeezys before the expected date , thanks guys keep it up",2017-10-28 02:53:26
Smooth,https://itunes.apple.com/us/reviews/id205352048,Conyezzy,1.12.0,5,This is the best App to verify expensive shoes authenticity. The process is extremely smooth and the design of the application is very user friendly.  The application does a great job of keeping the customer in the loop in every step of their process. I recommend this app to all the sneaker-heads.,2017-10-25 22:55:20
Review on the GOAT App,https://itunes.apple.com/us/reviews/id167246922,Bdjebehdveke,1.12.0,4,"I’ve noticed a lot of the reviews on the App Store are based on everyone’s personal experience with GOAT purchases after the fact and their costumer service. However I’d like to review the App itself, the UI, and the design. 

Starting with the App itself, I freakin love it. The idea behind buying and selling shoes easily on 1 platform is what has caused the attraction to this app. I will say I have experienced my fair share of issues as well... (app crashes, issues loading/reloading results, erasing shoe “wants” list) overall though, pretty impressed; nothing crazy. 

As far as the UI and design, I do like the simplicity of its interface and how easy it is to find, purchase, and/or sell sneakers.  A couple of my gripes come from my experience when browsing or searching for sneakers. I’ve noticed when I search for a specific sneaker and click on a shoe, the keyboard pops up every time I return to my original search results. Very annoying for browsing/shopping. I have to dismiss the keyboard before I continue scrolling. Not sure if it’s intentional or not because it happens every time you search for something, but I can’t understand the reasoning behind it. 

Second issue is with the filter feature and its options. Why on earth is there not a filter for price anywhere on this app? Makes no sense to me to have one for something as specific as color but not price; to me price is a more important criteria even before you get to color. THIS ABSOLUTELY NEEDS TO BE ADDED IN THE NEXT UPDATE. Will make browsing and searching for sneakers so much easier and faster. WIN-WIN! In addition to that, sorting features for price should be added as well. If I’m browsing through the main page for sneakers, maybe I don’t want to see all the ones that cost $300+ a pair all the time. Sometimes I wanna see the cheaper sneakers! Being able to sort the page by price will allow me to do that. Simple modification that will make this app 10X better. 

Thanks for reading this long review. Hopefully some of the Developers from GOAT catch this and make a change or two. 

Sincerely,

Happy GOAT Customer",2017-10-23 22:03:30
The worst,https://itunes.apple.com/us/reviews/id101037110,Mjs713,1.12.0,1,"This company is the worst. I’ve been on both sides of the fence; buyer and seller, and I have never had to deal with such incompetence. I do not recommend anyone buy or sell with this app. The first pair of shoes I ever ordered (kith mids) were shipped to me ripped. They listed a shoe under the wrong gender based on code and when it sold they canceled my sell and upped my commission because of their error. Honestly, this app is nothing but a headache. Trust and believe all these one star reviews, Use stock X or Grailed.",2017-10-23 19:46:39
BEST PLACE TO BUY SHOES,https://itunes.apple.com/us/reviews/id480257910,Darius 💯,1.12.0,5,"so i was looking for a good app to buy jordans and nike’s cause i like to collect those. i came across goat and i thought i would try it out. EVERYTHING WAS PERFECT. the prices weren’t high the process was easy and it’s really nice. i bought multiple shoes from goat like sport blue 6, black toe 14, royalty 4, white yin yang 1 and a lot more. i trust goat more than any other shoe website and it’s a lot better cause the prices were below retail and the app is really easy to work. i bought french blue 12 size 11 for $175 and usually now they go for around $270+. i would HIGHLY recommend this app to anyone who collects shoes or is just looking for a pair. and the best part is when you buy a shoe the app tells you what’s going on. first the seller confirms and boxes the shoe, then ships to goat, goat then verifies the shoe(if it’s fake you get a FULL refund), then they ship it to you and you get your shoes. best shoe app!!!",2017-10-23 08:44:54
Meow meow meow,https://itunes.apple.com/us/reviews/id102901070,RongKhiHeo,1.12.0,5,MEOW MEOW MOEW MOEW MEOW,2017-10-23 02:32:46
Love this app as a sneaker seller,https://itunes.apple.com/us/reviews/id356646108,Fresh769,1.11.4,5,"My friend put me on to GOAT but took awhile to use it because I was selling on eBay,but man I wish i started a long time ago selling on here is the best they do the hard part which is legit check it's worth the fees compared to Ebay where it's a crap shoot if you're a seller and just wanna sell your kicks and not worry much get this app...👌🏾",2017-10-22 23:40:45
GOAT,https://itunes.apple.com/us/reviews/id197678262,Lkg288,1.12.0,5,🐐!,2017-10-22 21:05:27
Best app for shoes,https://itunes.apple.com/us/reviews/id610974977,Fatal Perk,1.12.0,5,The goat app is the best that’s why it’s called the GOAT,2017-10-22 07:25:09
Fix the bugs of this newest version PLEASE,https://itunes.apple.com/us/reviews/id228043719,ShaKae :),1.12.0,4,"App is great, never had any issues buying or browsing shoes. However it seems super buggy & lagging whenever I use. It’s deleted my test listing twice because I had to close the app when it wouldn’t accept my social media accounts (whenever I get to the authorization page, the app doesn’t offer a backward button or an ‘x’ icon to get back to the actual app). If a user completes all the steps of the test listing BUT the social media, y’all need to save that info because people don’t want to keep taking photos of shoes over & over. PLEASE fix these bugs.",2017-10-21 23:07:06
"Good app, bad update",https://itunes.apple.com/us/reviews/id269806149,TheTrevorBear,1.12.0,2,"A lot of people in these comments don't seem to realize but it's a resale service, it's slow. Should've known that when you signed up. That being said, when it takes 2 weeks for shoes to go from the seller to the verification center that's also a problem. 

Of the shoes I've bought I've had mostly good results. 2 perfectly smooth transactions and 1 which I had to return due to a discoloration. They offered a full refund however it still would've been nice to never get a pair of damaged shoes in the first place.

Regarding the new update, when going through the searched shoes you cannot hide the keyboard, taking up half the screen and really annoying. 
It also seems like it wiped a lot of listings. There was a shoe I was looking at (to replace the ones I returned once I got refunded) which was available in every size and now all listings are completely gone. 

The only feature I would like would be to contact sellers selling damaged items. If it says ""new with markings"" it's not always easy to see where or how bad the markings are.",2017-10-21 21:20:39
Irreparably damages,https://itunes.apple.com/us/reviews/id134117390,4nyafam,1.12.0,1,"We received shoes that were “verified” and the clearly, previously  glued soles have already separated from the shoe bottom. We have had them less than a week. Though I expected “used” , I did not expect irreparably damaged.",2017-10-20 22:14:27
Very buggy app,https://itunes.apple.com/us/reviews/id138382936,Ribz78,1.12.0,2,"The app will delete your filter results, will have shoes lited that are not within your filters and the biggest problem is there is no sort by price low to high or high to low so you have to scroll through every pair of shoes. They may think they make more money by making you scroll through every pair however that is not the case. I have bought 6 pairs of sneakers off of StockX and one used one from goat because it is annoying to use the app.",2017-10-20 18:14:47
Not amazing,https://itunes.apple.com/us/reviews/id484942825,Perfect👍👍👍🤗🤗🤗,1.11.4,1,This app was wayyyyy over hyped. Half the shoes I wanted they didn’t even have.,2017-10-15 03:29:18
Best app,https://itunes.apple.com/us/reviews/id565047656,Boackwel,1.11.4,5,This app is amazing Thank you for creating this app is out of this world,2017-10-15 00:48:45
Good,https://itunes.apple.com/us/reviews/id270349900,Not peeewwwddddiie,1.11.4,5,Got my shoes I ordered in 2 weeks 🐐🐐🐐🐐,2017-10-14 21:36:20
Love this app,https://itunes.apple.com/us/reviews/id118492754,Rockytop1975,1.11.4,5,"GOAT is amazing and a simple answer to getting shoes. Ordered some NMD CS2s and got them in a week, no problems.",2017-10-13 15:35:13
Two pair ordered beyond impressed.,https://itunes.apple.com/us/reviews/id163497291,Meat03man,1.11.4,5,I bought two pairs of shoes from goat. The first was a pair of Jordan 1 yin yangs I picked up for $50 which was a crazy deal. About a week and a half later I was wearing them. Next was copper foams took around a week from purchase to my house including going in for authentication. Overall I love this app.,2017-10-13 11:54:53
Started off great now it’s awful,https://itunes.apple.com/us/reviews/id592922329,j_sneaks,1.11.4,2,"I’ve been using the app for over a year for buying and selling. App has become horrible over time. Bought a pair of shoes on the 3rd which were shipped to me on the 7th and they still haven’t made their way to me. Not too sure what kind of shipping speed they used but somethings off. I listed 2 pairs of sneakers yesterday but for whatever reason 1 pair hasn’t been listed and there’s no explanation why. When you sell a pair the shipping labels don’t get sent to my email anymore and I have to email customer service just to get the shipping label. Contacting customer support, I don’t expect a reply until at least 6 hours later. I really hate this app now.",2017-10-12 04:10:41
Don't be a seller,https://itunes.apple.com/us/reviews/id570932987,Tmurphy0270,1.11.4,1,It was Father's Day and the post office was closed so I couldn't ship my shoes out and it was the last day to so they cancelled my sale and upped their commission on me.,2017-10-12 01:54:09
Exclusive market,https://itunes.apple.com/us/reviews/id119350922,Aliak40,1.11.4,1,As a person who is wide footed i could not find a single shoe using the built in search engine. Why close your market to a vast majority of people who have wide feet when you can simply add a wide footed search feature and change your list a bit to accommodate for it?,2017-10-11 17:32:21
Dope,https://itunes.apple.com/us/reviews/id594707978,bob the buldier,1.11.4,5,It dope 💯💯💯💯💯💯💯,2017-10-11 11:47:18
Easy and reliable,https://itunes.apple.com/us/reviews/id433207652,Iusbriuasnf,1.11.4,5,Ordered multi colored ultraboosts and a pair on pk1 nmds and it came within 2 weeks,2017-10-09 21:00:53
Best place to sell shoes,https://itunes.apple.com/us/reviews/id637075136,Abhartz64,1.11.4,5,"Been using this app since launch.  I have tried StockX, kixify, and eBay.  This is hands down the best and safest way to sell shoes.  

Straight forward fees, no buyer interaction, and easy to understand offer system unlike stockx.  I even had a package get lost by ups and they reimbursed me in full for sales price.",2017-10-08 04:31:43
Lobe,https://itunes.apple.com/us/reviews/id368077290,AdamiStheGoat,1.11.4,5,Great app wish it would verify me tho,2017-10-07 14:25:42
Good service and fast,https://itunes.apple.com/us/reviews/id394636803,Superhuu,1.11.4,5,Never missed any shoes on this app,2017-10-06 17:35:34
Support Needs to Be a Priority.,https://itunes.apple.com/us/reviews/id388817420,Take Interest,1.11.4,2,"When I first found out what this app was I was very intrigued. It sounds like it’s very buyer protection based. I like the authenticity checks. The app would be great for buying, but as a seller I hate it. The listing options are great, but I’ve been waiting over a month just to get verified to sell. I linked all social media, and used an authentic used pair of Legend Blue 11s. I’ve emailed multiple times and was just told “be patient we’ll get back to as soon as possible.” Then today I was told one of the photos for the test listing wasn’t accepted. I have already sold the shoes since it took over 30 days. Honestly it’s easy, faster, and you have more to gain through eBay. Overall I fee this app was a waste of time and effort. Not happy at all.",2017-10-05 18:34:16
One additional thing,https://itunes.apple.com/us/reviews/id461332986,Affidavit habits,1.11.4,4,Love the app but would love if you could set a price range when you’re looking to buy.,2017-10-05 04:43:48
Pointless,https://itunes.apple.com/us/reviews/id635230892,Greg123456825,1.11.4,1,"It's been almost 180 days and I still haven't been approved to sell on this app. This shows they're extremely backed up and unprofessional. Then, they juggle their seller fees every 15 days. I just give up and I'm taking my talents to the streets. Don't waste your time with this app.",2017-10-05 00:34:34
NEEDS OPTIONS,https://itunes.apple.com/us/reviews/id471289443,Kylethepoopy,1.11.4,3,The shipping is ridiculous GOAT needs to have an option where the buyer can choose to skip the verification process and there NEEDS to be a direct messaging system between the buyer and the seller it took two weeks for shoes to come ridiculous,2017-10-04 23:47:48
Dope App 5/5,https://itunes.apple.com/us/reviews/id40104069,Byebye579,1.11.4,5,"Just bought myself a fresh pair of cream white v2’s, for a great price and was great when it comes to shipment tracking.",2017-10-03 13:42:45
